As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive Old,Netflix Release Date,Days In Top 10,Viewership Score,Netflix Exclusive,Streak,Rank Last Week
01/04/20,3,3,2,All American,TV Show,,"Mar 28, 2019",9,76,No,3,2
01/04/20,9,8,-,Badland,Movie,,"Mar 26, 2020",4,11,No,8,NA
01/04/20,4,4,-,Blood Father,Movie,,"Mar 26, 2020",5,30,No,4,NA
01/04/20,6,6,-,Car Masters: Rust to Riches,TV Show,Yes,"Sep 14, 2018",4,14,Yes,6,NA
01/04/20,8,7,5,Love is Blind,TV Show,Yes,"Feb 13, 2020",9,40,Yes,7,5
01/04/20,2,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",5,45,Yes,2,NA
01/04/20,5,5,4,The Platform,Movie,Yes,"Mar 20, 2020",9,55,Yes,5,4
01/04/20,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",9,90,Yes,1,1
01/04/20,10,9,-,Uncorked,Movie,Yes,"Mar 27, 2020",4,15,Yes,9,NA
01/04/20,7,10,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",2,5,Yes,10,NA
02/04/20,3,3,2,All American,TV Show,,"Mar 28, 2019",10,84,No,3,2
02/04/20,6,4,-,Blood Father,Movie,,"Mar 26, 2020",6,35,No,4,NA
02/04/20,10,6,-,Car Masters: Rust to Riches,TV Show,Yes,"Sep 14, 2018",5,15,Yes,6,NA
02/04/20,5,-,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",1,6,Yes,-1,NA
02/04/20,4,-,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",1,7,Yes,-1,NA
02/04/20,2,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",6,54,Yes,2,NA
02/04/20,9,5,4,The Platform,Movie,Yes,"Mar 20, 2020",10,57,Yes,5,4
02/04/20,7,-,-,The Roommate,Movie,,"Apr 1, 2020",1,4,No,-1,NA
02/04/20,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",10,100,Yes,1,1
02/04/20,8,7,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",3,8,Yes,7,NA
03/04/20,3,3,2,All American,TV Show,,"Mar 28, 2019",11,92,No,3,2
03/04/20,10,6,-,Blood Father,Movie,,"Mar 26, 2020",7,36,No,6,NA
03/04/20,4,5,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",2,13,Yes,5,NA
03/04/20,5,4,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",2,13,Yes,4,NA
03/04/20,2,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",7,63,Yes,2,NA
03/04/20,9,-,-,Salt,Movie,,"Apr 1, 2020",1,2,No,-1,NA
03/04/20,8,-,-,The Players Club,Movie,,"Apr 1, 2020",1,3,No,-1,NA
03/04/20,6,7,-,The Roommate,Movie,,"Apr 1, 2020",2,9,No,7,NA
03/04/20,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",11,110,Yes,1,1
03/04/20,7,8,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",4,12,Yes,8,NA
04/04/20,4,3,3,All American,TV Show,,"Mar 28, 2019",12,99,No,3,3
04/04/20,5,-,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",1,6,Yes,-1,NA
04/04/20,6,4,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",3,18,Yes,4,NA
04/04/20,3,-,-,Money Heist,TV Show,Yes,"Dec 20, 2017",1,8,Yes,-1,NA
04/04/20,8,5,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",3,16,Yes,5,NA
04/04/20,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",8,72,Yes,2,2
04/04/20,10,8,-,The Players Club,Movie,,"Apr 1, 2020",2,4,No,8,NA
04/04/20,7,6,-,The Roommate,Movie,,"Apr 1, 2020",3,13,No,6,NA
04/04/20,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",12,120,Yes,1,1
04/04/20,9,7,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",5,14,Yes,7,NA
05/04/20,5,4,3,All American,TV Show,,"Mar 28, 2019",13,105,No,4,3
05/04/20,9,-,-,Angel Has Fallen,Movie,,"Apr 4, 2020",1,2,No,-1,NA
05/04/20,3,5,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",2,14,Yes,5,NA
05/04/20,6,6,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",4,23,Yes,6,NA
05/04/20,4,3,-,Money Heist,TV Show,Yes,"Dec 20, 2017",2,15,Yes,3,NA
05/04/20,7,8,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",4,20,Yes,8,NA
05/04/20,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",9,81,Yes,2,2
05/04/20,8,7,-,The Roommate,Movie,,"Apr 1, 2020",4,16,No,7,NA
05/04/20,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",13,130,Yes,1,1
05/04/20,10,9,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",6,15,Yes,9,NA
06/04/20,6,5,3,All American,TV Show,,"Mar 28, 2019",14,110,No,5,3
06/04/20,4,9,-,Angel Has Fallen,Movie,,"Apr 4, 2020",2,9,No,9,NA
06/04/20,3,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",3,22,Yes,3,NA
06/04/20,7,6,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",5,27,Yes,6,NA
06/04/20,5,4,-,Money Heist,TV Show,Yes,"Dec 20, 2017",3,21,Yes,4,NA
06/04/20,8,7,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",5,23,Yes,7,NA
06/04/20,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",10,90,Yes,2,2
06/04/20,10,-,-,The Hangover,Movie,,"Jul 1, 2019",1,1,No,-1,NA
06/04/20,9,8,-,The Roommate,Movie,,"Apr 1, 2020",5,18,No,8,NA
06/04/20,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",14,140,Yes,1,1
07/04/20,6,6,3,All American,TV Show,,"Mar 28, 2019",15,115,No,6,3
07/04/20,4,4,-,Angel Has Fallen,Movie,,"Apr 4, 2020",3,16,No,4,NA
07/04/20,3,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",4,30,Yes,3,NA
07/04/20,9,7,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",6,29,Yes,7,NA
07/04/20,10,-,-,Legacies,TV Show,,"Apr 5, 2019",1,1,No,-1,NA
07/04/20,5,5,-,Money Heist,TV Show,Yes,"Dec 20, 2017",4,27,Yes,5,NA
07/04/20,8,8,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",6,26,Yes,8,NA
07/04/20,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",11,99,Yes,2,2
07/04/20,7,-,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",1,4,Yes,-1,NA
07/04/20,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",15,150,Yes,1,1
08/04/20,7,6,3,All American,TV Show,,"Mar 28, 2019",16,119,No,6,3
08/04/20,5,4,-,Angel Has Fallen,Movie,,"Apr 4, 2020",4,22,No,4,NA
08/04/20,3,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",5,38,Yes,3,NA
08/04/20,8,10,-,Legacies,TV Show,,"Apr 5, 2019",2,4,No,10,NA
08/04/20,6,5,-,Money Heist,TV Show,Yes,"Dec 20, 2017",5,32,Yes,5,NA
08/04/20,9,8,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",7,28,Yes,8,NA
08/04/20,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",12,108,Yes,2,2
08/04/20,4,7,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",2,11,Yes,7,NA
08/04/20,10,-,-,The Hangover,Movie,,"Jul 1, 2019",2,2,No,-1,NA
08/04/20,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",16,160,Yes,1,1
09/04/20,7,7,3,All American,TV Show,,"Mar 28, 2019",17,123,No,7,3
09/04/20,4,5,-,Angel Has Fallen,Movie,,"Apr 4, 2020",5,29,No,5,NA
09/04/20,5,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",6,44,Yes,3,NA
09/04/20,8,8,-,Legacies,TV Show,,"Apr 5, 2019",3,7,No,8,NA
09/04/20,6,6,-,Money Heist,TV Show,Yes,"Dec 20, 2017",6,37,Yes,6,NA
09/04/20,9,9,4,Nailed It!,TV Show,Yes,"Mar 9, 2018",8,30,Yes,9,4
09/04/20,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",13,117,Yes,2,2
09/04/20,3,4,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",3,19,Yes,4,NA
09/04/20,10,10,-,The Hangover,Movie,,"Jul 1, 2019",3,3,No,10,NA
09/04/20,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",17,170,Yes,1,1
10/04/20,6,7,3,All American,TV Show,,"Mar 28, 2019",18,128,No,7,3
10/04/20,4,4,-,Angel Has Fallen,Movie,,"Apr 4, 2020",6,36,No,4,NA
10/04/20,7,5,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",7,48,Yes,5,NA
10/04/20,10,-,-,Community,TV Show,,"Apr 1, 2020",1,1,No,-1,NA
10/04/20,8,8,-,Legacies,TV Show,,"Apr 5, 2019",4,10,No,8,NA
10/04/20,5,6,-,Money Heist,TV Show,Yes,"Dec 20, 2017",7,43,Yes,6,NA
10/04/20,9,9,5,Nailed It!,TV Show,Yes,"Mar 9, 2018",9,32,Yes,9,5
10/04/20,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",14,126,Yes,2,2
10/04/20,3,3,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",4,27,Yes,3,NA
10/04/20,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",18,180,Yes,1,1
11/04/20,7,6,4,All American,TV Show,,"Mar 28, 2019",19,132,No,6,4
11/04/20,3,4,-,Angel Has Fallen,Movie,,"Apr 4, 2020",7,44,No,4,NA
11/04/20,8,7,5,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",8,51,Yes,7,5
11/04/20,9,8,-,Legacies,TV Show,,"Apr 5, 2019",5,12,No,8,NA
11/04/20,6,-,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",1,5,Yes,-1,NA
11/04/20,5,5,3,Money Heist,TV Show,Yes,"Dec 20, 2017",8,49,Yes,5,3
11/04/20,10,9,8,Nailed It!,TV Show,Yes,"Mar 9, 2018",10,33,Yes,9,8
11/04/20,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",15,135,Yes,2,2
11/04/20,4,3,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",5,34,Yes,3,NA
11/04/20,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",19,190,Yes,1,1
12/04/20,8,7,5,All American,TV Show,,"Mar 28, 2019",20,135,No,7,5
12/04/20,4,3,9,Angel Has Fallen,Movie,,"Apr 4, 2020",8,51,No,3,9
12/04/20,7,-,-,Code 8,Movie,,"Apr 11, 2020",1,4,No,-1,NA
12/04/20,10,-,-,Community,TV Show,,"Apr 1, 2020",2,2,No,-1,NA
12/04/20,9,9,-,Legacies,TV Show,,"Apr 5, 2019",6,14,No,9,NA
12/04/20,3,6,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",2,13,Yes,6,NA
12/04/20,6,5,4,Money Heist,TV Show,Yes,"Dec 20, 2017",9,54,Yes,5,4
12/04/20,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",16,144,Yes,2,2
12/04/20,5,4,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",6,40,Yes,4,NA
12/04/20,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",20,200,Yes,1,1
13/04/20,9,8,6,All American,TV Show,,"Mar 28, 2019",21,137,No,8,6
13/04/20,4,4,4,Angel Has Fallen,Movie,,"Apr 4, 2020",9,58,No,4,4
13/04/20,2,7,-,Code 8,Movie,,"Apr 11, 2020",2,13,No,7,NA
13/04/20,7,-,-,Hop,Movie,,"Jan 16, 2020",1,4,No,-1,NA
13/04/20,5,3,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",3,19,Yes,3,NA
13/04/20,6,6,5,Money Heist,TV Show,Yes,"Dec 20, 2017",10,59,Yes,6,5
13/04/20,3,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",17,152,Yes,2,2
13/04/20,8,5,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",7,43,Yes,5,NA
13/04/20,10,-,-,The Main Event,Movie,Yes,"Apr 10, 2020",1,1,Yes,-1,NA
13/04/20,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",21,210,Yes,1,1
14/04/20,5,9,6,All American,TV Show,,"Mar 28, 2019",22,143,No,9,6
14/04/20,9,4,4,Angel Has Fallen,Movie,,"Apr 4, 2020",10,60,No,4,4
14/04/20,3,2,-,Code 8,Movie,,"Apr 11, 2020",3,21,No,2,NA
14/04/20,10,-,10,Legacies,TV Show,,"Apr 5, 2019",7,15,No,-1,10
14/04/20,6,5,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",4,24,Yes,5,NA
14/04/20,4,6,5,Money Heist,TV Show,Yes,"Dec 20, 2017",11,66,Yes,6,5
14/04/20,2,3,2,Ozark,TV Show,Yes,"Jul 21, 2017",18,161,Yes,3,2
14/04/20,7,8,7,The Big Show Show,TV Show,Yes,"Apr 6, 2020",8,47,Yes,8,7
14/04/20,8,10,-,The Main Event,Movie,Yes,"Apr 10, 2020",2,4,Yes,10,NA
14/04/20,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",22,220,Yes,1,1
15/04/20,6,5,7,All American,TV Show,,"Mar 28, 2019",23,148,No,5,7
15/04/20,10,9,5,Angel Has Fallen,Movie,,"Apr 4, 2020",11,61,No,9,5
15/04/20,4,-,-,Chris DâElia: No Pain,Stand-Up Comedy,Yes,"Apr 14, 2020",1,7,Yes,-1,NA
15/04/20,3,3,-,Code 8,Movie,,"Apr 11, 2020",4,29,No,3,NA
15/04/20,8,6,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",5,27,Yes,6,NA
15/04/20,5,4,6,Money Heist,TV Show,Yes,"Dec 20, 2017",12,72,Yes,4,6
15/04/20,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",19,170,Yes,2,2
15/04/20,7,7,4,The Big Show Show,TV Show,Yes,"Apr 6, 2020",9,51,Yes,7,4
15/04/20,9,8,-,The Main Event,Movie,Yes,"Apr 10, 2020",3,6,Yes,8,NA
15/04/20,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",23,230,Yes,1,1
16/04/20,7,6,7,All American,TV Show,,"Mar 28, 2019",24,152,No,6,7
16/04/20,10,10,4,Angel Has Fallen,Movie,,"Apr 4, 2020",12,62,No,10,4
16/04/20,4,4,-,Chris DâElia: No Pain,Stand-Up Comedy,Yes,"Apr 14, 2020",2,14,Yes,4,NA
16/04/20,3,3,-,Code 8,Movie,,"Apr 11, 2020",5,37,No,3,NA
16/04/20,8,5,6,Money Heist,TV Show,Yes,"Dec 20, 2017",13,75,Yes,5,6
16/04/20,6,-,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",1,5,Yes,-1,NA
16/04/20,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",20,179,Yes,2,2
16/04/20,9,7,3,The Big Show Show,TV Show,Yes,"Apr 6, 2020",10,53,Yes,7,3
16/04/20,5,-,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",1,6,Yes,-1,NA
16/04/20,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",24,240,Yes,1,1
17/04/20,7,7,6,All American,TV Show,,"Mar 28, 2019",25,156,No,7,6
17/04/20,9,4,-,Chris DâElia: No Pain,Stand-Up Comedy,Yes,"Apr 14, 2020",3,16,Yes,4,NA
17/04/20,6,3,-,Code 8,Movie,,"Apr 11, 2020",6,42,No,3,NA
17/04/20,1,-,-,Despicable Me,Movie,,"Apr 16, 2020",1,10,No,-1,NA
17/04/20,8,8,5,Money Heist,TV Show,Yes,"Dec 20, 2017",14,78,Yes,8,5
17/04/20,3,6,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",2,13,Yes,6,NA
17/04/20,4,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",21,186,Yes,2,2
17/04/20,10,9,3,The Big Show Show,TV Show,Yes,"Apr 6, 2020",11,54,Yes,9,3
17/04/20,5,5,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",2,12,Yes,5,NA
17/04/20,2,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",25,249,Yes,1,1
18/04/20,6,-,-,#blackAF,TV Show,Yes,"Apr 17, 2020",1,5,Yes,-1,NA
18/04/20,9,7,7,All American,TV Show,,"Mar 28, 2019",26,158,No,7,7
18/04/20,7,6,-,Code 8,Movie,,"Apr 11, 2020",7,46,No,6,NA
18/04/20,1,1,-,Despicable Me,Movie,,"Apr 16, 2020",2,20,No,1,NA
18/04/20,10,8,5,Money Heist,TV Show,Yes,"Dec 20, 2017",15,79,Yes,8,5
18/04/20,3,3,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",3,21,Yes,3,NA
18/04/20,4,4,2,Ozark,TV Show,Yes,"Jul 21, 2017",22,193,Yes,4,2
18/04/20,8,5,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",3,15,Yes,5,NA
18/04/20,2,2,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",26,258,Yes,2,1
18/04/20,5,-,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",1,6,Yes,-1,NA
19/04/20,5,6,-,#blackAF,TV Show,Yes,"Apr 17, 2020",2,11,Yes,6,NA
19/04/20,8,7,7,Code 8,Movie,,"Apr 11, 2020",8,49,No,7,7
19/04/20,1,1,-,Despicable Me,Movie,,"Apr 16, 2020",3,30,No,1,NA
19/04/20,10,10,6,Money Heist,TV Show,Yes,"Dec 20, 2017",16,80,Yes,10,6
19/04/20,4,3,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",4,28,Yes,3,NA
19/04/20,6,4,2,Ozark,TV Show,Yes,"Jul 21, 2017",23,198,Yes,4,2
19/04/20,7,8,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",4,19,Yes,8,NA
19/04/20,3,2,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",27,266,Yes,2,1
19/04/20,2,5,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",2,15,Yes,5,NA
19/04/20,9,-,-,Waco,TV Show,,"Apr 16, 2020",1,2,No,-1,NA
20/04/20,5,5,-,#blackAF,TV Show,Yes,"Apr 17, 2020",3,17,Yes,5,NA
20/04/20,9,8,2,Code 8,Movie,,"Apr 11, 2020",9,51,No,8,2
20/04/20,1,1,-,Despicable Me,Movie,,"Apr 16, 2020",4,40,No,1,NA
20/04/20,3,4,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",5,36,Yes,4,NA
20/04/20,6,6,3,Ozark,TV Show,Yes,"Jul 21, 2017",24,203,Yes,6,3
20/04/20,10,-,-,The Green Hornet,Movie,,"Apr 18, 2020",1,1,No,-1,NA
20/04/20,8,7,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",5,22,Yes,7,NA
20/04/20,4,3,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",28,273,Yes,3,1
20/04/20,2,2,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",3,24,Yes,2,NA
20/04/20,7,9,-,Waco,TV Show,,"Apr 16, 2020",2,6,No,9,NA
21/04/20,6,5,-,#blackAF,TV Show,Yes,"Apr 17, 2020",4,22,Yes,5,NA
21/04/20,9,-,5,All American,TV Show,,"Mar 28, 2019",27,160,No,-1,5
21/04/20,3,1,-,Despicable Me,Movie,,"Apr 16, 2020",5,48,No,1,NA
21/04/20,2,3,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",6,45,Yes,3,NA
21/04/20,7,6,2,Ozark,TV Show,Yes,"Jul 21, 2017",25,207,Yes,6,2
21/04/20,10,10,-,The Green Hornet,Movie,,"Apr 18, 2020",2,2,No,10,NA
21/04/20,8,8,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",6,25,Yes,8,NA
21/04/20,5,4,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",29,279,Yes,4,1
21/04/20,1,2,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",4,34,Yes,2,NA
21/04/20,4,7,-,Waco,TV Show,,"Apr 16, 2020",3,13,No,7,NA
22/04/20,5,6,-,#blackAF,TV Show,Yes,"Apr 17, 2020",5,28,Yes,6,NA
22/04/20,8,9,6,All American,TV Show,,"Mar 28, 2019",28,163,No,9,6
22/04/20,10,-,-,Cooked with Cannabis,TV Show,Yes,"Apr 20, 2020",1,1,Yes,-1,NA
22/04/20,3,3,-,Despicable Me,Movie,,"Apr 16, 2020",6,56,No,3,NA
22/04/20,2,2,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",7,54,Yes,2,NA
22/04/20,7,7,2,Ozark,TV Show,Yes,"Jul 21, 2017",26,211,Yes,7,2
22/04/20,9,8,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",7,27,Yes,8,NA
22/04/20,6,5,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",30,284,Yes,5,1
22/04/20,1,1,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",5,44,Yes,1,NA
22/04/20,4,4,-,Waco,TV Show,,"Apr 16, 2020",4,20,No,4,NA
23/04/20,8,5,-,#blackAF,TV Show,Yes,"Apr 17, 2020",6,31,Yes,5,NA
23/04/20,9,-,-,Absurd Planet,TV Show,Yes,"Apr 22, 2020",1,2,Yes,-1,NA
23/04/20,10,10,-,Cooked with Cannabis,TV Show,Yes,"Apr 20, 2020",2,2,Yes,10,NA
23/04/20,5,3,-,Despicable Me,Movie,,"Apr 16, 2020",7,62,No,3,NA
23/04/20,2,2,6,Outer Banks,TV Show,Yes,"Apr 15, 2020",8,63,Yes,2,6
23/04/20,6,7,2,Ozark,TV Show,Yes,"Jul 21, 2017",27,216,Yes,7,2
23/04/20,4,-,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",1,7,Yes,-1,NA
23/04/20,7,6,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",31,288,Yes,6,1
23/04/20,1,1,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",6,54,Yes,1,NA
23/04/20,3,4,-,Waco,TV Show,,"Apr 16, 2020",5,28,No,4,NA
24/04/20,8,8,-,#blackAF,TV Show,Yes,"Apr 17, 2020",7,34,Yes,8,NA
24/04/20,9,9,-,Absurd Planet,TV Show,Yes,"Apr 22, 2020",2,4,Yes,9,NA
24/04/20,10,10,-,Cooked with Cannabis,TV Show,Yes,"Apr 20, 2020",3,3,Yes,10,NA
24/04/20,6,5,1,Despicable Me,Movie,,"Apr 16, 2020",8,67,No,5,1
24/04/20,2,2,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",9,72,Yes,2,3
24/04/20,5,6,4,Ozark,TV Show,Yes,"Jul 21, 2017",28,222,Yes,6,4
24/04/20,1,4,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",2,17,Yes,4,NA
24/04/20,7,7,2,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",32,292,Yes,7,2
24/04/20,3,1,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",7,62,Yes,1,NA
24/04/20,4,3,-,Waco,TV Show,,"Apr 16, 2020",6,35,No,3,NA
25/04/20,10,8,6,#blackAF,TV Show,Yes,"Apr 17, 2020",8,35,Yes,8,6
25/04/20,9,9,-,Absurd Planet,TV Show,Yes,"Apr 22, 2020",3,6,Yes,9,NA
25/04/20,7,6,1,Despicable Me,Movie,,"Apr 16, 2020",9,71,No,6,1
25/04/20,1,-,-,Extraction,Movie,Yes,"Apr 24, 2020",1,10,Yes,-1,NA
25/04/20,3,2,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",10,80,Yes,2,3
25/04/20,6,5,4,Ozark,TV Show,Yes,"Jul 21, 2017",29,227,Yes,5,4
25/04/20,2,1,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",3,26,Yes,1,NA
25/04/20,8,7,2,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",33,295,Yes,7,2
25/04/20,4,3,5,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",8,69,Yes,3,5
25/04/20,5,4,-,Waco,TV Show,,"Apr 16, 2020",7,41,No,4,NA
26/04/20,8,9,-,Absurd Planet,TV Show,Yes,"Apr 22, 2020",4,9,Yes,9,NA
26/04/20,9,7,1,Despicable Me,Movie,,"Apr 16, 2020",10,73,No,7,1
26/04/20,10,-,-,Django Unchained,Movie,,"Oct 25, 2014",1,1,No,-1,NA
26/04/20,1,1,-,Extraction,Movie,Yes,"Apr 24, 2020",2,20,Yes,1,NA
26/04/20,2,3,4,Outer Banks,TV Show,Yes,"Apr 15, 2020",11,89,Yes,3,4
26/04/20,7,6,6,Ozark,TV Show,Yes,"Jul 21, 2017",30,231,Yes,6,6
26/04/20,3,2,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",4,34,Yes,2,NA
26/04/20,6,8,3,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",34,300,Yes,8,3
26/04/20,5,4,2,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",9,75,Yes,4,2
26/04/20,4,5,9,Waco,TV Show,,"Apr 16, 2020",8,48,No,5,9
27/04/20,3,-,-,"Coronavirus, Explained",TV Show,Yes,"Apr 26, 2020",1,8,Yes,-1,NA
27/04/20,8,10,-,Django Unchained,Movie,,"Oct 25, 2014",2,4,No,10,NA
27/04/20,1,1,-,Extraction,Movie,Yes,"Apr 24, 2020",3,30,Yes,1,NA
27/04/20,2,2,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",12,98,Yes,2,3
27/04/20,9,7,6,Ozark,TV Show,Yes,"Jul 21, 2017",31,233,Yes,7,6
27/04/20,7,-,-,The Last Kingdom,TV Show,,"Jul 10, 2016",1,4,No,-1,NA
27/04/20,4,3,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",5,41,Yes,3,NA
27/04/20,10,6,4,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",35,301,Yes,6,4
27/04/20,6,5,2,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",10,80,Yes,5,2
